chrom,start,end,name,score,strand
chr1,9868,11969,DDX11L1,.,+
chr1,15435,17536,MIR6859-1,.,-
chr1,27553,29654,MIR1302-2HG,.,+
chr1,27569,29670,WASH7P,.,-
chr1,28365,30466,MIR1302-2,.,+
chr1,34080,36181,FAM138A,.,-
chr1,50472,52573,OR4G4P,.,+
chr1,55597,57698,OR4G11P,.,+
chr1,63418,65519,OR4F5,.,+
chr1,89104,91205,ENSG00000239945,.,-
chr1,129024,131125,CICP27,.,+
chr1,131722,133823,ENSG00000238009,.,-
chr1,133894,135995,ENSG00000268903,.,-
chr1,135964,138065,ENSG00000269981,.,-
chr1,138338,140439,ENSG00000239906,.,-
chr1,155886,157987,RNU6-1100P,.,-
chr1,158445,160546,ENSG00000241599,.,+
chr1,171861,173962,ENSG00000241860,.,-
chr1,180695,182796,DDX11L17,.,+
chr1,185957,188058,MIR6859-2,.,-
chr1,193410,195511,WASH9P,.,-
chr1,264854,266955,ENSG00000286448,.,+
chr1,346365,348466,RPL23AP24,.,-
chr1,356856,358957,ENSG00000236601,.,+
chr1,357680,359781,ENSG00000228463,.,-
chr1,437869,439970,WBP1LP7,.,+
chr1,449677,451778,OR4F29,.,-
chr1,485100,487201,CICP7,.,+
chr1,491240,493341,ENSG00000250575,.,-
chr1,514478,516579,U6,.,-
chr1,520927,523028,ENSG00000237094,.,-
chr1,585628,587729,ENSG00000235146,.,+
chr1,627061,629162,MTND1P23,.,+
chr1,627639,629740,MTND2P28,.,+
chr1,629073,631174,MTCO1P12,.,+
chr1,630412,632513,ENSG00000278791,.,-
chr1,630756,632857,MTCO2P12,.,+
chr1,631534,633635,MTATP8P1,.,+
chr1,631695,633796,MTATP6P1,.,+
chr1,632375,634476,MTCO3P12,.,+
chr1,672841,674942,WBP1LP6,.,+
chr1,684653,686754,OR4F16,.,-
chr1,720091,722192,CICP3,.,+
chr1,756335,758436,RNU6-1199P,.,-
chr1,758910,761011,ENSG00000229905,.,+
chr1,776687,778788,ENSG00000228327,.,-
chr1,776746,778847,LINC01409,.,+
chr1,779936,782037,ENSG00000285268,.,+
chr1,815370,817471,FAM87B,.,+
chr1,815711,817812,ENSG00000230092,.,-
chr1,823137,825238,LINC01128,.,+
chr1,825538,827639,LINC00115,.,-
chr1,825795,827896,ENSG00000230021,.,-
chr1,858225,860326,ENSG00000288531,.,+
chr1,871291,873392,TUBB8P11,.,+
chr1,874902,877003,FAM41C,.,-
chr1,875233,877334,ENSG00000283040,.,-
chr1,902833,904934,ENSG00000272438,.,+
chr1,909434,911535,ENSG00000230699,.,+
chr1,912170,914271,ENSG00000241180,.,+
chr1,919015,921116,LINC02593,.,-
chr1,921922,924023,SAMD11,.,+
chr1,957308,959409,NOC2L,.,-
chr1,958583,960684,KLHL17,.,+
chr1,964481,966582,PLEKHN1,.,+
chr1,980116,982217,PERM1,.,-
chr1,996050,998151,ENSG00000272512,.,-
chr1,998171,1000272,HES4,.,-
chr1,999137,1001238,ISG15,.,+
chr1,1006228,1008329,ENSG00000231702,.,-
chr1,1011192,1013293,ENSG00000224969,.,-
chr1,1018119,1020220,AGRN,.,+
chr1,1053032,1055133,ENSG00000242590,.,+
chr1,1057686,1059787,ENSG00000217801,.,+
chr1,1061287,1063388,ENSG00000273443,.,-
chr1,1072305,1074406,RNF223,.,-
chr1,1095584,1097685,ENSG00000285812,.,+
chr1,1114360,1116461,C1orf159,.,-
chr1,1135016,1137117,LINC01342,.,+
chr1,1165103,1167204,MIR200B,.,+
chr1,1165862,1167963,MIR200A,.,+
chr1,1167004,1169105,MIR429,.,+
chr1,1167356,1169457,ENSG00000272141,.,+
chr1,1171879,1173980,TTLL10,.,+
chr1,1177554,1179655,TTLL10-AS1,.,-
chr1,1204591,1206692,TNFRSF18,.,-
chr1,1212152,1214253,TNFRSF4,.,-
chr1,1230030,1232131,SDF4,.,-
chr1,1230236,1232337,B3GALT6,.,+
chr1,1244721,1246822,C1QTNF12,.,-
chr1,1249333,1251434,ENSG00000260179,.,-
chr1,1271863,1273964,UBE2J2,.,-
chr1,1273222,1275323,LINC01786,.,+
chr1,1278435,1280536,SCNN1D,.,+
chr1,1294169,1296270,MIR6726,.,-
chr1,1306596,1308697,PUSL1,.,+
chr1,1307608,1309709,ACAP3,.,-
chr1,1310565,1312666,MIR6727,.,-
chr1,1316688,1318789,ENSG00000240731,.,-
chr1,1322686,1324787,INTS11,.,-
chr1,1322755,1324856,CPTP,.,+
chr1,1329279,1331380,TAS1R3,.,+
chr1,1337707,1339808,MIR6808,.,-
chr1,1347417,1349518,DVL1,.,-
chr1,1359776,1361877,MXRA8,.,-
chr1,1373206,1375307,AURKAIP1,.,-
chr1,1376665,1378766,NDUFB4P8,.,+
chr1,1397334,1399435,CCNL2,.,-
chr1,1397514,1399615,MRPL20-AS1,.,+
chr1,1403751,1405852,RN7SL657P,.,-
chr1,1405292,1407393,MRPL20,.,-
chr1,1407095,1409196,MRPL20-DT,.,+
chr1,1418244,1420345,ANKRD65-AS1,.,+
chr1,1419768,1421869,ANKRD65,.,-
chr1,1423870,1425971,TMEM88B,.,+
chr1,1432572,1434673,LINC01770,.,-
chr1,1432860,1434961,VWA1,.,+
chr1,1447688,1449789,ATAD3C,.,+
chr1,1469764,1471865,ATAD3B,.,+
chr1,1501249,1503350,ENSG00000284740,.,+
chr1,1510161,1512262,ATAD3A,.,+
chr1,1538623,1540724,TMEM240,.,-
chr1,1572101,1574202,ENSG00000215014,.,+
chr1,1572862,1574963,SSU72,.,-
chr1,1581908,1584009,ENSG00000274481,.,-
chr1,1598134,1600235,FNDC10,.,-
chr1,1598313,1600414,ENSG00000286989,.,+
chr1,1613453,1615554,MIB2,.,+
chr1,1613794,1615895,ENSG00000272106,.,-
chr1,1630162,1632263,MMP23B,.,+
chr1,1657011,1659112,CDK11B,.,-
chr1,1657324,1659425,ENSG00000272004,.,+
chr1,1669989,1672090,ENSG00000269737,.,+
chr1,1690794,1692895,SLC35E2B,.,-
chr1,1697941,1700042,MMP23A,.,+
chr1,1722356,1724457,CDK11A,.,-
chr1,1722511,1724612,ENSG00000227775,.,+
chr1,1735687,1737788,ENSG00000268575,.,-
chr1,1743991,1746092,SLC35E2A,.,-
chr1,1778456,1780557,NADK,.,-
chr1,1889116,1891217,GNB1,.,-
chr1,1889222,1891323,GNB1-DT,.,+
chr1,1913107,1915208,CALML6,.,+
chr1,1917278,1919379,TMEM52,.,-
chr1,2001836,2003937,CFAP74,.,-
chr1,2013638,2015739,ENSG00000233542,.,-
