chrom,start,end,name,score,strand
chr1,3071252,3073353,4933401J01Rik,.,+
chr1,3100015,3102116,Gm26206,.,+
chr1,3250756,3252857,Gm18956,.,+
chr1,3366548,3368649,Gm37180,.,-
chr1,3375787,3377888,Gm37363,.,-
chr1,3464586,3466687,Gm1992,.,+
chr1,3465284,3467385,Gm37686,.,-
chr1,3512506,3514607,Gm37329,.,-
chr1,3529794,3531895,Gm7341,.,+
chr1,3593902,3596003,Gm38148,.,-
chr1,3656903,3659004,Gm19938,.,-
chr1,3669497,3671598,Xkr4,.,-
chr1,3678154,3680255,Gm10568,.,+
chr1,3750009,3752110,Gm38385,.,+
chr1,3781932,3784033,Gm27396,.,-
chr1,3984214,3986315,Gm37381,.,-
chr1,4258518,4260619,Gm6101,.,-
chr1,4362828,4364929,Gm37483,.,-
chr1,4407240,4409341,Rp1,.,-
chr1,4494550,4496651,Gm37587,.,+
chr1,4495353,4497454,Sox17,.,-
chr1,4520904,4523005,Gm7357,.,+
chr1,4527016,4529117,Gm22307,.,+
chr1,4533285,4535386,Gm38076,.,-
chr1,4584251,4586352,Gm37323,.,-
chr1,4608470,4610571,Gm7369,.,+
chr1,4687402,4689503,Gm6085,.,-
chr1,4691423,4693524,Gm6119,.,-
chr1,4721378,4723479,Gm25493,.,-
chr1,4733675,4735776,Gm2053,.,-
chr1,4769130,4771231,Gm6123,.,+
chr1,4777211,4779312,Gm37144,.,-
chr1,4783738,4785839,Mrpl15,.,-
chr1,4805787,4807888,Lypla1,.,+
chr1,4805891,4807992,Gm37988,.,+
chr1,4855813,4857914,Tcea1,.,+
chr1,4878650,4880751,Gm6104,.,-
chr1,4904860,4906961,Gm37277,.,-
chr1,4925298,4927399,Gm17100,.,-
chr1,4938709,4940810,Gm37079,.,-
chr1,4968856,4970957,Gm16041,.,+
chr1,5061059,5063160,Gm17101,.,+
chr1,5068017,5070118,Atp6v1h,.,+
chr1,5068284,5070385,Rgs20,.,-
chr1,5275336,5277437,Gm7182,.,-
chr1,5305738,5307839,Gm37567,.,+
chr1,5401546,5403647,Gm38264,.,+
chr1,5586465,5588566,Oprk1,.,+
chr1,5616229,5618330,Gm36965,.,-
chr1,5642744,5644845,Gm22463,.,-
chr1,5842671,5844772,Gm37429,.,-
chr1,5915397,5917498,Npbwr1,.,-
chr1,6048044,6050145,Gm19214,.,-
chr1,6204196,6206297,Rb1cc1,.,+
chr1,6213292,6215393,4732440D04Rik,.,-
chr1,6357217,6359318,Alkal1,.,+
chr1,6378393,6380494,Gm2147,.,+
chr1,6381105,6383206,Gm7417,.,-
chr1,6439295,6441396,Gm19026,.,-
chr1,6485230,6487331,St18,.,+
chr1,6862150,6864251,Gm42492,.,-
chr1,6908559,6910660,Gm7449,.,+
chr1,6914558,6916659,Gm37108,.,+
chr1,6927758,6929859,Gm37275,.,+
chr1,6996216,6998317,Gm37225,.,+
chr1,7011761,7013862,Gm37489,.,+
chr1,7033914,7036015,Gm5694,.,+
chr1,7086919,7089020,Pcmtd1,.,+
chr1,7134585,7136686,Gm26983,.,-
chr1,7146109,7148210,Gm38372,.,+
chr1,7175738,7177839,Gm9826,.,+
chr1,7187918,7190019,Nras-ps2,.,-
chr1,7263802,7265903,Gm23274,.,+
chr1,7313450,7315551,Gm19002,.,+
chr1,7395868,7397969,Gm26901,.,-
chr1,7408678,7410779,Gm18984,.,+
chr1,7495967,7498068,Gm30414,.,+
chr1,7589645,7591746,Gm37791,.,+
chr1,7595378,7597479,Gm7470,.,+
chr1,7662080,7664181,Rps2-ps2,.,+
chr1,7728564,7730665,Gm38216,.,-
chr1,8451490,8453591,Gm38024,.,-
chr1,8466824,8468925,Gm16284,.,-
chr1,8529312,8531413,Gm38259,.,-
chr1,8586723,8588824,Gm23358,.,-
chr1,8642858,8644959,Gm37005,.,-
chr1,8790161,8792262,Gm15452,.,-
chr1,8813841,8815942,Gm36964,.,+
chr1,8814137,8816238,Gm24276,.,+
chr1,8854266,8856367,Gm6152,.,-
chr1,8854762,8856863,Gm7445,.,+
chr1,8961620,8963721,Gm7493,.,-
chr1,9190115,9192216,Gm37629,.,-
chr1,9257133,9259234,Gm38008,.,-
chr1,9284921,9287022,Gm37143,.,+
chr1,9297877,9299978,Sntg1,.,-
chr1,9396686,9398787,Gm6187,.,-
chr1,9438375,9440476,Gm18299,.,-
chr1,9448578,9450679,Gm7512,.,+
chr1,9456669,9458770,Gm24765,.,+
chr1,9499521,9501622,Gm18300,.,-
chr1,9543407,9545508,Rrs1,.,+
chr1,9545947,9548048,Adhfe1,.,+
chr1,9572547,9574648,Gm6161,.,+
chr1,9599198,9601299,Vxn,.,+
chr1,9629174,9631275,2610203C22Rik,.,-
chr1,9638581,9640682,Gm29520,.,-
chr1,9698208,9700309,Mybl1,.,-
